0.0001	0.888
0.0002	0.889
0.0004	1.066
0.0006	1.421
0.0008	1.776
0.001	1.954
0.0012	2.664
0.0014	3.73
0.0016	4.796
0.0018	5.506
0.002	6.039
0.0024	6.927
0.0028	7.638
0.003	7.993
0.004	8.881
0.005	9.769
0.006	10.48
0.0064	11.19
0.008	11.901
0.01	12.256
0.012	12.966
0.015	13.499
0.019	14.21
0.022	14.742
0.026	15.453
0.032	16.341
0.04	17.229
0.049	18.65
0.06	19.893
0.072	20.782
0.085	21.847
0.1	23.091
0.114	24.512
0.134	25.577
0.152	26.821
0.168	28.419
0.191	29.485
0.211	30.551
0.24	31.972
0.273	33.215
0.311	34.813
0.354	36.412
0.39	37.655
0.445	39.432
0.474	40.675
0.523	42.096
0.595	43.517
0.635	45.471
0.723	46.892
0.797	48.313
0.85	50.089
0.907	51.51
0.968	53.108
1.102	55.24
1.255	58.082
1.383	59.325
1.524	60.568
1.68	63.055
1.852	65.009
1.976	66.785
2.108	68.384
2.324	70.515
2.561	72.647
2.733	74.423
3.111	76.377
3.429	78.686
3.904	80.817
4.303	83.126
4.743	85.435
5.228	88.277
5.952	90.764
6.776	92.718
7.715	94.671
8.783	96.092
10	97.691
12.148	99.29
15.746	100
